DateTime,Open,High,Low,Close
2023-11-30 07:30:00,16189.9,16191.4,16185.9,16187.4
2023-11-30 07:40:00,16186.9,16196.9,16182.4,16196.9
2023-11-30 07:50:00,16197.4,16197.9,16191.4,16197.4
2023-11-30 08:00:00,16197.4,16211.9,16190.4,16209.4
2023-11-30 08:10:00,16208.9,16216.9,16192.9,16203.9
2023-11-30 08:20:00,16204.4,16206.4,16186.9,16187.4
2023-11-30 08:30:00,16187.9,16201.4,16183.4,16187.9
2023-11-30 08:40:00,16188.4,16188.9,16170.9,16170.9
2023-11-30 08:50:00,16171.4,16175.4,16164.9,16171.4
2023-11-30 09:00:00,16171.9,16195.9,16171.9,16190.9
2023-11-30 09:10:00,16191.4,16199.9,16190.4,16198.9
2023-11-30 09:20:00,16198.4,16205.4,16195.7,16196.7
2023-11-30 09:30:00,16197.7,16200.7,16189.7,16191.7
2023-11-30 09:40:00,16192.2,16195.7,16185.7,16192.7
2023-11-30 09:50:00,16191.7,16197.7,16189.7,16197.2
2023-11-30 10:00:00,16197.7,16205.7,16193.7,16202.7
2023-11-30 10:10:00,16203.2,16212.7,16200.2,16202.7
2023-11-30 10:20:00,16203.2,16210.2,16201.2,16208.2
